,ID,Class,TD,AS,X,Y,Speed,AccT,AccL,frame
0,C1_1, Bicycle,35.42,14.760077,30.898372,75.871993,15.0681,1.9599,-1.1655,0
0,C1_2, Pedestrian,28.32,4.551737,30.898442,75.871872,3.4027,-0.1198,-0.0412,0
0,C1_3, Tuk-Tuk,50.8,4.650719,30.898302,75.872034,5.5585,-3.7115,2.0204,0
0,C1_4, Car,41,27.334761,30.898261,75.872166,30.2262,0.1251,5.4857,0
0,C1_5, Car,33.33,17.646583,30.898562,75.871957,21.9299,-1.3127,-0.1176,0
0,C1_6, Motorcycle,9.68,21.237938,30.898477,75.872161,23.8752,0.6092,0.7993,0
1,C1_1, Bicycle,35.42,14.760077,30.898373,75.871992,15.3617,2.1186,-1.2568,0.04
1,C1_2, Pedestrian,28.32,4.551737,30.898441,75.871872,3.3853,-0.1218,-0.0411,0.04
1,C1_3, Tuk-Tuk,50.8,4.650719,30.898302,75.872033,5.3067,-3.8753,2.0318,0.04
1,C1_4, Car,41,27.334761,30.898263,75.872164,30.2392,0.0575,5.8592,0.04
1,C1_5, Car,33.33,17.646583,30.898561,75.871959,21.7351,-1.393,-0.1474,0.04
1,C1_6, Motorcycle,9.68,21.237938,30.898476,75.872163,23.9655,0.6451,0.8328,0.04
2,C1_1, Bicycle,35.42,14.760077,30.898375,75.871991,15.6606,2.0328,-1.2691,0.08
2,C1_2, Pedestrian,28.32,4.551737,30.898441,75.871873,3.3737,-0.0395,-0.0683,0.08
2,C1_3, Tuk-Tuk,50.8,4.650719,30.898302,75.872032,5.0308,-4.0456,2.0416,0.08
2,C1_4, Car,41,27.334761,30.898265,75.872162,30.2208,-0.3112,6.0552,0.08
2,C1_5, Car,33.33,17.646583,30.89856,75.871962,21.5358,-1.3752,-0.1781,0.08
2,C1_6, Motorcycle,9.68,21.237938,30.898476,75.872166,24.077,0.9033,0.7869,0.08
3,C1_1, Bicycle,35.42,14.760077,30.898376,75.87199,15.9434,1.8957,-1.2556,0.12
3,C1_2, Pedestrian,28.32,4.551737,30.898441,75.871873,3.3559,-0.2078,-0.0507,0.12
3,C1_3, Tuk-Tuk,50.8,4.650719,30.898303,75.872032,4.7359,-4.1385,2.0244,0.12
3,C1_4, Car,41,27.334761,30.898268,75.872159,30.1514,-0.6538,6.069,0.12
3,C1_5, Car,33.33,17.646583,30.898559,75.871964,21.3497,-1.2088,-0.1807,0.12
3,C1_6, Motorcycle,9.68,21.237938,30.898475,75.872169,24.22,1.0823,0.7248,0.12
0,C1_7, Motorcycle,34.94,3.839961,30.898538,75.8721,1.4141,-0.5405,0.2622,0.12
4,C1_1, Bicycle,35.42,14.760077,30.898377,75.871988,16.2065,1.7574,-1.2245,0.16
